gene.chr,gene.start,gene.stop,gene.id,gene.strand,probe.chr,probe.start,probe.stop,probe.id,probe.strand
chr1,141870,143261,AT1G01360,+,chr1,141870,143261,AT1G01360,+
chr1,143489,146479,AT1G01370,+,chr1,143489,146479,AT1G01370,+
chr1,147043,148014,AT1G01380,+,chr1,147043,148014,AT1G01380,+
chr1,148013,149848,AT1G01390,-,chr1,148013,149848,AT1G01390,-
chr1,150689,152210,AT1G01400,-,chr1,150689,152210,AT1G01400,-
chr1,153113,154198,AT1G01410,+,chr1,153113,154198,AT1G01410,+
chr1,154367,156178,AT1G01420,-,chr1,154367,156178,AT1G01420,-
chr1,156477,158823,AT1G01430,-,chr1,156477,158823,AT1G01430,-
chr1,159628,162953,AT1G01440,-,chr1,159628,162953,AT1G01440,-
chr1,163278,166353,AT1G01448,+,chr1,163278,166353,AT1G01448,+
chr1,164105,165517,AT1G01450,-,chr1,164105,165517,AT1G01450,-
chr1,166589,168088,AT1G01453,-,chr1,166589,168088,AT1G01453,-
chr1,168559,171386,AT1G01460,+,chr1,168559,171386,AT1G01460,+
chr1,171525,172948,AT1G01470,-,chr1,171525,172948,AT1G01470,-
chr1,175706,178406,AT1G01480,+,chr1,175706,178406,AT1G01480,+
chr1,180017,182749,AT1G01490,-,chr1,180017,182749,AT1G01490,-
chr1,185033,187135,AT1G01500,+,chr1,185033,187135,AT1G01500,+
chr1,187145,190472,AT1G01510,+,chr1,187145,190472,AT1G01510,+
chr1,190408,192436,AT1G01520,+,chr1,190408,192436,AT1G01520,+
chr1,192634,193670,AT1G01530,-,chr1,192634,193670,AT1G01530,-
chr1,195645,198787,AT1G01540,+,chr1,195645,198787,AT1G01540,+
chr1,199527,201775,AT1G01550,+,chr1,199527,201775,AT1G01550,+
chr1,202103,204440,AT1G01560,+,chr1,202103,204440,AT1G01560,+
chr1,204935,207642,AT1G01570,+,chr1,204935,207642,AT1G01570,+
chr1,208995,213082,AT1G01580,+,chr1,208995,213082,AT1G01580,+
chr1,214150,217734,AT1G01590,+,chr1,214150,217734,AT1G01590,+
chr1,218834,221286,AT1G01600,+,chr1,218834,221286,AT1G01600,+
chr1,221642,224351,AT1G01610,-,chr1,221642,224351,AT1G01610,-
chr1,225665,227543,AT1G01620,-,chr1,225665,227543,AT1G01620,-
chr1,228799,230979,AT1G01630,+,chr1,228799,230979,AT1G01630,+
chr1,230908,232630,AT1G01640,-,chr1,230908,232630,AT1G01640,-
chr1,232840,237905,AT1G01650,-,chr1,232840,237905,AT1G01650,-
chr1,234006,234159,AT1G04027,-,chr1,234006,234159,AT1G04027,-
chr1,239841,242703,AT1G01660,-,chr1,239841,242703,AT1G01660,-
chr1,242713,246054,AT1G01670,-,chr1,242713,246054,AT1G01670,-
chr1,246262,248440,AT1G01680,-,chr1,246262,248440,AT1G01680,-
chr1,249041,252522,AT1G01690,+,chr1,249041,252522,AT1G01690,+
chr1,252626,254530,AT1G01695,+,chr1,252626,254530,AT1G01695,+
chr1,254830,257582,AT1G08775,+,chr1,254830,257582,AT1G08775,+
chr1,255022,255384,AT1G04033,+,chr1,255022,255384,AT1G04033,+
chr1,258717,258963,AT1G04037,-,chr1,258717,258963,AT1G04037,-
chr1,259307,261667,AT1G01700,-,chr1,259307,261667,AT1G01700,-
chr1,262828,266324,AT1G01710,+,chr1,262828,266324,AT1G01710,+
chr1,266333,267883,AT1G01715,+,chr1,266333,267883,AT1G01715,+
chr1,267993,268336,AT1G04043,-,chr1,267993,268336,AT1G04043,-
chr1,267993,269819,AT1G01720,+,chr1,267993,269819,AT1G01720,+
chr1,269792,270859,AT1G01725,-,chr1,269792,270859,AT1G01725,-
chr1,270067,270517,AT1G04047,+,chr1,270067,270517,AT1G04047,+
chr1,270797,272189,AT1G01730,+,chr1,270797,272189,AT1G01730,+
chr1,272111,274930,AT1G01740,-,chr1,272111,274930,AT1G01740,-
chr1,275188,276310,AT1G01750,+,chr1,275188,276310,AT1G01750,+
chr1,275473,276319,AT1G04053,-,chr1,275473,276319,AT1G04053,-
chr1,276266,278599,AT1G01760,-,chr1,276266,278599,AT1G01760,-
chr1,276543,276729,AT1G04057,+,chr1,276543,276729,AT1G04057,+
chr1,278600,282891,AT1G01770,+,chr1,278600,282891,AT1G01770,+
chr1,282761,284245,AT1G01780,+,chr1,282761,284245,AT1G01780,+
chr1,284350,291203,AT1G01790,+,chr1,284350,291203,AT1G01790,+
chr1,291594,292061,AT1G04063,-,chr1,291594,292061,AT1G04063,-
chr1,293246,295086,AT1G01800,+,chr1,293246,295086,AT1G01800,+
chr1,295207,295859,AT1G01810,+,chr1,295207,295859,AT1G01810,+
chr1,296001,298334,AT1G01820,-,chr1,296001,298334,AT1G01820,-
chr1,298451,302310,AT1G01830,-,chr1,298451,302310,AT1G01830,-
chr1,303463,303977,AT1G04067,-,chr1,303463,303977,AT1G04067,-
chr1,303537,304358,AT1G01840,+,chr1,303537,304358,AT1G01840,+
chr1,304133,306310,AT1G01860,-,chr1,304133,306310,AT1G01860,-
chr1,304481,304713,AT1G04073,+,chr1,304481,304713,AT1G04073,+
chr1,306384,306456,AT1G01870,+,chr1,306384,306456,AT1G01870,+
chr1,306467,309541,AT1G01880,-,chr1,306467,309541,AT1G01880,-
chr1,309275,309347,AT1G01890,-,chr1,309275,309347,AT1G01890,-
chr1,310169,313130,AT1G01900,+,chr1,310169,313130,AT1G01900,+
chr1,311828,312884,AT1G04077,-,chr1,311828,312884,AT1G04077,-
chr1,313101,316090,AT1G01910,-,chr1,313101,316090,AT1G01910,-
chr1,314189,314463,AT1G04083,+,chr1,314189,314463,AT1G04083,+
chr1,315983,319667,AT1G01920,+,chr1,315983,319667,AT1G01920,+
chr1,319769,322895,AT1G01930,-,chr1,319769,322895,AT1G01930,-
chr1,322886,324917,AT1G01940,+,chr1,322886,324917,AT1G01940,+
chr1,325316,330619,AT1G01950,+,chr1,325316,330619,AT1G01950,+
chr1,330588,337912,AT1G01960,-,chr1,330588,337912,AT1G01960,-
chr1,338241,340088,AT1G01970,+,chr1,338241,340088,AT1G01970,+
chr1,340108,342040,AT1G01980,-,chr1,340108,342040,AT1G01980,-
chr1,342918,344400,AT1G01990,-,chr1,342918,344400,AT1G01990,-
chr1,345516,347603,AT1G02000,+,chr1,345516,347603,AT1G02000,+
chr1,347613,352545,AT1G02010,+,chr1,347613,352545,AT1G02010,+
chr1,352612,355124,AT1G02020,-,chr1,352612,355124,AT1G02020,-
chr1,355124,357258,AT1G02030,-,chr1,355124,357258,AT1G02030,-
chr1,357906,359078,AT1G02040,-,chr1,357906,359078,AT1G02040,-
chr1,359117,360746,AT1G02050,-,chr1,359117,360746,AT1G02050,-
chr1,360918,363142,AT1G02060,-,chr1,360918,363142,AT1G02060,-
chr1,365165,367443,AT1G02065,+,chr1,365165,367443,AT1G02065,+
chr1,366945,367166,AT1G02067,-,chr1,366945,367166,AT1G02067,-
chr1,370195,371090,AT1G02070,-,chr1,370195,371090,AT1G02070,-
chr1,373335,386913,AT1G02080,+,chr1,373335,386913,AT1G02080,+
chr1,387277,389808,AT1G02090,-,chr1,387277,389808,AT1G02090,-
chr1,389812,392816,AT1G02100,+,chr1,389812,392816,AT1G02100,+
chr1,392831,395528,AT1G02110,+,chr1,392831,395528,AT1G02110,+
chr1,395689,400001,AT1G02120,+,chr1,395689,400001,AT1G02120,+
chr1,399983,401919,AT1G02130,-,chr1,399983,401919,AT1G02130,-
chr1,402086,402294,AT1G04087,+,chr1,402086,402294,AT1G04087,+
chr1,402693,402961,AT1G02136,-,chr1,402693,402961,AT1G02136,-
chr1,403100,404456,AT1G02140,-,chr1,403100,404456,AT1G02140,-
chr1,404600,408619,AT1G02145,+,chr1,404600,408619,AT1G02145,+
chr1,408622,410680,AT1G02150,+,chr1,408622,410680,AT1G02150,+
chr1,410744,411632,AT1G02160,+,chr1,410744,411632,AT1G02160,+
chr1,411664,413554,AT1G02170,+,chr1,411664,413554,AT1G02170,+
chr1,413522,414649,AT1G02180,-,chr1,413522,414649,AT1G02180,-
chr1,415074,418027,AT1G02190,+,chr1,415074,418027,AT1G02190,+
chr1,418416,422579,AT1G02205,+,chr1,418416,422579,AT1G02205,+
chr1,424479,425189,AT1G08785,-,chr1,424479,425189,AT1G08785,-
chr1,424666,425164,AT1G04093,+,chr1,424666,425164,AT1G04093,+
chr1,427548,427811,AT1G02210,-,chr1,427548,427811,AT1G02210,-
chr1,428650,430720,AT1G02220,-,chr1,428650,430720,AT1G02220,-
chr1,433031,433819,AT1G02228,-,chr1,433031,433819,AT1G02228,-
chr1,434965,436922,AT1G02230,-,chr1,434965,436922,AT1G02230,-
chr1,437860,439559,AT1G02250,-,chr1,437860,439559,AT1G02250,-
chr1,440200,442972,AT1G02260,-,chr1,440200,442972,AT1G02260,-
chr1,443118,446296,AT1G02270,-,chr1,443118,446296,AT1G02270,-
chr1,447092,448257,AT1G08795,+,chr1,447092,448257,AT1G08795,+
chr1,448423,450426,AT1G02280,-,chr1,448423,450426,AT1G02280,-
chr1,450461,452743,AT1G02290,-,chr1,450461,452743,AT1G02290,-
chr1,453107,455519,AT1G02300,+,chr1,453107,455519,AT1G02300,+
chr1,455688,458164,AT1G02305,+,chr1,455688,458164,AT1G02305,+
chr1,455880,456198,AT1G04097,-,chr1,455880,456198,AT1G04097,-
chr1,458133,460831,AT1G02310,-,chr1,458133,460831,AT1G02310,-
chr1,459122,461921,AT1G04103,+,chr1,459122,461921,AT1G04103,+
chr1,461828,461974,AT1G02320,+,chr1,461828,461974,AT1G02320,+
chr1,461946,463618,AT1G02330,-,chr1,461946,463618,AT1G02330,-
chr1,463754,464981,AT1G02335,-,chr1,463754,464981,AT1G02335,-
chr1,465616,467880,AT1G02340,-,chr1,465616,467880,AT1G02340,-
chr1,469818,470693,AT1G02350,+,chr1,469818,470693,AT1G02350,+
chr1,471127,471498,AT1G04107,-,chr1,471127,471498,AT1G04107,-
chr1,471883,473336,AT1G02360,-,chr1,471883,473336,AT1G02360,-
chr1,474373,476612,AT1G02370,+,chr1,474373,476612,AT1G02370,+
chr1,476945,479112,AT1G02380,+,chr1,476945,479112,AT1G02380,+
chr1,480650,483373,AT1G02390,+,chr1,480650,483373,AT1G02390,+
chr1,486800,489651,AT1G02400,+,chr1,486800,489651,AT1G02400,+
chr1,489874,490627,AT1G02405,-,chr1,489874,490627,AT1G02405,-
chr1,490860,492979,AT1G02410,+,chr1,490860,492979,AT1G02410,+
chr1,493639,495158,AT1G02420,+,chr1,493639,495158,AT1G02420,+
chr1,494008,495548,AT1G04117,-,chr1,494008,495548,AT1G04117,-
chr1,495050,496332,AT1G02430,-,chr1,495050,496332,AT1G02430,-
chr1,495887,496190,AT1G04123,+,chr1,495887,496190,AT1G04123,+
chr1,496372,497555,AT1G02440,-,chr1,496372,497555,AT1G02440,-
chr1,497917,498539,AT1G02450,-,chr1,497917,498539,AT1G02450,-
chr1,504463,507268,AT1G02460,-,chr1,504463,507268,AT1G02460,-
chr1,511765,513721,AT1G02470,-,chr1,511765,513721,AT1G02470,-
chr1,513699,515422,AT1G02475,-,chr1,513699,515422,AT1G02475,-
chr1,515494,515566,AT1G02480,+,chr1,515494,515566,AT1G02480,+
chr1,516569,516866,AT1G02490,+,chr1,516569,516866,AT1G02490,+
chr1,518091,520495,AT1G02500,+,chr1,518091,520495,AT1G02500,+
chr1,520498,521668,AT1G02510,-,chr1,520498,521668,AT1G02510,-
chr1,523536,529069,AT1G02520,+,chr1,523536,529069,AT1G02520,+
chr1,529679,534677,AT1G02530,+,chr1,529679,534677,AT1G02530,+
chr1,534827,535699,AT1G02540,-,chr1,534827,535699,AT1G02540,-
chr1,536483,537211,AT1G02550,+,chr1,536483,537211,AT1G02550,+
chr1,537740,540127,AT1G02560,+,chr1,537740,540127,AT1G02560,+
chr1,541236,542245,AT1G02570,+,chr1,541236,542245,AT1G02570,+
chr1,543011,544057,AT1G02575,+,chr1,543011,544057,AT1G02575,+
chr1,544733,549202,AT1G02580,+,chr1,544733,549202,AT1G02580,+
chr1,551002,551636,AT1G08805,-,chr1,551002,551636,AT1G08805,-
chr1,551289,551529,AT1G04127,-,chr1,551289,551529,AT1G04127,-
chr1,552138,552761,AT1G02590,-,chr1,552138,552761,AT1G02590,-
chr1,552640,552711,AT1G02600,+,chr1,552640,552711,AT1G02600,+
chr1,553019,556152,AT1G02610,-,chr1,553019,556152,AT1G02610,-
chr1,557092,558774,AT1G02620,+,chr1,557092,558774,AT1G02620,+
chr1,558071,558492,AT1G04133,-,chr1,558071,558492,AT1G04133,-
chr1,559735,560251,AT1G04137,+,chr1,559735,560251,AT1G04137,+
chr1,560610,562598,AT1G02630,-,chr1,560610,562598,AT1G02630,-
chr1,564018,567771,AT1G02640,+,chr1,564018,567771,AT1G02640,+
chr1,568558,570554,AT1G02650,+,chr1,568558,570554,AT1G02650,+
chr1,571826,575085,AT1G02660,-,chr1,571826,575085,AT1G02660,-
chr1,575922,580532,AT1G02670,+,chr1,575922,580532,AT1G02670,+
chr1,580625,582310,AT1G02680,+,chr1,580625,582310,AT1G02680,+
chr1,582364,582985,AT1G02681,+,chr1,582364,582985,AT1G02681,+
chr1,583471,583860,AT1G04143,-,chr1,583471,583860,AT1G04143,-
chr1,584134,587327,AT1G02690,+,chr1,584134,587327,AT1G02690,+
chr1,588003,589480,AT1G02700,+,chr1,588003,589480,AT1G02700,+
chr1,589584,590406,AT1G02705,+,chr1,589584,590406,AT1G02705,+
chr1,589706,589996,AT1G02710,-,chr1,589706,589996,AT1G02710,-
chr1,591682,594264,AT1G02720,+,chr1,591682,594264,AT1G02720,+
chr1,594502,598657,AT1G02730,-,chr1,594502,598657,AT1G02730,-
chr1,599330,602199,AT1G02740,-,chr1,599330,602199,AT1G02740,-
chr1,602489,604387,AT1G02750,+,chr1,602489,604387,AT1G02750,+
chr1,604402,604474,AT1G02760,+,chr1,604402,604474,AT1G02760,+
chr1,604873,606708,AT1G02770,-,chr1,604873,606708,AT1G02770,-
chr1,607799,609534,AT1G02780,-,chr1,607799,609534,AT1G02780,-
chr1,610363,612324,AT1G02790,-,chr1,610363,612324,AT1G02790,-
chr1,613197,616231,AT1G02800,-,chr1,613197,616231,AT1G02800,-
chr1,618061,620502,AT1G02810,+,chr1,618061,620502,AT1G02810,+
chr1,620678,621329,AT1G02813,+,chr1,620678,621329,AT1G02813,+
chr1,621453,623054,AT1G02816,+,chr1,621453,623054,AT1G02816,+
chr1,623656,624567,AT1G02820,-,chr1,623656,624567,AT1G02820,-
chr1,625084,625608,AT1G02830,-,chr1,625084,625608,AT1G02830,-
chr1,626639,629993,AT1G02840,+,chr1,626639,629993,AT1G02840,+
chr1,630374,633420,AT1G02850,+,chr1,630374,633420,AT1G02850,+
chr1,635144,637262,AT1G02860,+,chr1,635144,637262,AT1G02860,+
chr1,636337,636614,AT1G04147,-,chr1,636337,636614,AT1G04147,-
chr1,637214,638681,AT1G02870,-,chr1,637214,638681,AT1G02870,-
chr1,637772,638231,AT1G04153,+,chr1,637772,638231,AT1G04153,+
chr1,641542,642317,AT1G08815,+,chr1,641542,642317,AT1G08815,+
chr1,642505,644903,AT1G02880,-,chr1,642505,644903,AT1G02880,-
chr1,645084,652001,AT1G02890,-,chr1,645084,652001,AT1G02890,-
chr1,653604,654457,AT1G02900,-,chr1,653604,654457,AT1G02900,-
chr1,655568,658216,AT1G02910,-,chr1,655568,658216,AT1G02910,-
chr1,658578,659980,AT1G02920,-,chr1,658578,659980,AT1G02920,-
chr1,661088,662475,AT1G02930,-,chr1,661088,662475,AT1G02930,-
chr1,662963,664290,AT1G02940,-,chr1,662963,664290,AT1G02940,-
chr1,665119,666471,AT1G02950,-,chr1,665119,666471,AT1G02950,-
chr1,665354,666367,AT1G02952,+,chr1,665354,666367,AT1G02952,+
chr1,666807,669919,AT1G02960,-,chr1,666807,669919,AT1G02960,-
chr1,671661,672814,AT1G02965,-,chr1,671661,672814,AT1G02965,-
chr1,673306,676419,AT1G02970,+,chr1,673306,676419,AT1G02970,+
chr1,677360,681378,AT1G02980,+,chr1,677360,681378,AT1G02980,+
chr1,681331,687385,AT1G02990,-,chr1,681331,687385,AT1G02990,-
chr1,687795,692660,AT1G03000,-,chr1,687795,692660,AT1G03000,-
chr1,693190,696504,AT1G03010,+,chr1,693190,696504,AT1G03010,+
chr1,697919,698591,AT1G03020,-,chr1,697919,698591,AT1G03020,-
chr1,701365,703929,AT1G03030,+,chr1,701365,703929,AT1G03030,+
chr1,703847,706689,AT1G03040,-,chr1,703847,706689,AT1G03040,-
chr1,707485,710041,AT1G03050,+,chr1,707485,710041,AT1G03050,+
chr1,710018,711857,AT1G03055,-,chr1,710018,711857,AT1G03055,-
chr1,712440,727553,AT1G03060,-,chr1,712440,727553,AT1G03060,-
chr1,729830,731565,AT1G03070,+,chr1,729830,731565,AT1G03070,+
chr1,731554,738306,AT1G03080,-,chr1,731554,738306,AT1G03080,-
chr1,739544,744184,AT1G03090,+,chr1,739544,744184,AT1G03090,+
chr1,742298,742522,AT1G04157,-,chr1,742298,742522,AT1G04157,-
chr1,743885,746701,AT1G03100,-,chr1,743885,746701,AT1G03100,-
chr1,744724,746147,AT1G04163,+,chr1,744724,746147,AT1G04163,+
chr1,747197,748057,AT1G03103,+,chr1,747197,748057,AT1G03103,+
chr1,748101,749034,AT1G03106,-,chr1,748101,749034,AT1G03106,-
chr1,749246,751976,AT1G03110,+,chr1,749246,751976,AT1G03110,+
chr1,752191,753140,AT1G03120,+,chr1,752191,753140,AT1G03120,+
chr1,753307,754262,AT1G03130,-,chr1,753307,754262,AT1G03130,-
chr1,754261,756303,AT1G03140,-,chr1,754261,756303,AT1G03140,-
chr1,756414,758678,AT1G03150,+,chr1,756414,758678,AT1G03150,+
chr1,760884,761099,AT1G04167,-,chr1,760884,761099,AT1G04167,-
chr1,761261,766194,AT1G03160,+,chr1,761261,766194,AT1G03160,+
chr1,766336,767324,AT1G03165,+,chr1,766336,767324,AT1G03165,+
chr1,767037,767385,AT1G04173,-,chr1,767037,767385,AT1G04173,-
chr1,768376,770684,AT1G03170,+,chr1,768376,770684,AT1G03170,+
chr1,773358,775362,AT1G03180,+,chr1,773358,775362,AT1G03180,+
chr1,775527,780062,AT1G03190,+,chr1,775527,780062,AT1G03190,+
chr1,780107,780409,AT1G04177,+,chr1,780107,780409,AT1G04177,+
chr1,780519,782946,AT1G03200,+,chr1,780519,782946,AT1G03200,+
chr1,782904,784346,AT1G03210,+,chr1,782904,784346,AT1G03210,+
chr1,786832,788722,AT1G03220,+,chr1,786832,788722,AT1G03220,+
chr1,789820,791689,AT1G03230,+,chr1,789820,791689,AT1G03230,+
chr1,792222,793060,AT1G03240,-,chr1,792222,793060,AT1G03240,-
chr1,793315,795403,AT1G03250,-,chr1,793315,795403,AT1G03250,-
chr1,795449,798491,AT1G03260,-,chr1,795449,798491,AT1G03260,-
chr1,799115,802625,AT1G03270,+,chr1,799115,802625,AT1G03270,+
chr1,802970,807066,AT1G03280,+,chr1,802970,807066,AT1G03280,+
chr1,807361,813216,AT1G03290,+,chr1,807361,813216,AT1G03290,+
chr1,811033,813086,AT1G03300,-,chr1,811033,813086,AT1G03300,-
chr1,813413,816812,AT1G03310,+,chr1,813413,816812,AT1G03310,+
chr1,816989,817767,AT1G03320,+,chr1,816989,817767,AT1G03320,+
chr1,817053,817178,AT1G03325,-,chr1,817053,817178,AT1G03325,-
chr1,817934,819563,AT1G03330,-,chr1,817934,819563,AT1G03330,-
chr1,819612,821476,AT1G03340,+,chr1,819612,821476,AT1G03340,+
chr1,822582,824410,AT1G03350,-,chr1,822582,824410,AT1G03350,-
chr1,824517,826399,AT1G03360,+,chr1,824517,826399,AT1G03360,+
chr1,826523,830393,AT1G03365,+,chr1,826523,830393,AT1G03365,+
chr1,830550,835411,AT1G03370,+,chr1,830550,835411,AT1G03370,+
chr1,835767,841373,AT1G03380,+,chr1,835767,841373,AT1G03380,+
chr1,841033,842418,AT1G03390,-,chr1,841033,842418,AT1G03390,-
chr1,841677,842158,AT1G03395,+,chr1,841677,842158,AT1G03395,+
chr1,842659,844251,AT1G03400,-,chr1,842659,844251,AT1G03400,-
chr1,844436,847683,AT1G03410,-,chr1,844436,847683,AT1G03410,-
chr1,845677,847683,AT1G04183,+,chr1,845677,847683,AT1G04183,+
chr1,846664,847739,AT1G03420,+,chr1,846664,847739,AT1G03420,+
chr1,847793,849621,AT1G03430,+,chr1,847793,849621,AT1G03430,+
chr1,852151,854297,AT1G03440,+,chr1,852151,854297,AT1G03440,+
chr1,854410,859701,AT1G03445,-,chr1,854410,859701,AT1G03445,-
chr1,860761,864372,AT1G03457,-,chr1,860761,864372,AT1G03457,-
chr1,865895,867733,AT1G03470,-,chr1,865895,867733,AT1G03470,-
chr1,868853,871308,AT1G03475,-,chr1,868853,871308,AT1G03475,-
chr1,871874,872906,AT1G03490,+,chr1,871874,872906,AT1G03490,+
chr1,873166,874476,AT1G03495,+,chr1,873166,874476,AT1G03495,+
chr1,875056,875189,AT1G04187,-,chr1,875056,875189,AT1G04187,-
chr1,875224,875340,AT1G04193,-,chr1,875224,875340,AT1G04193,-
chr1,875358,875471,AT1G03502,-,chr1,875358,875471,AT1G03502,-
chr1,875518,875604,AT1G03506,-,chr1,875518,875604,AT1G03506,-
chr1,875679,875823,AT1G04197,-,chr1,875679,875823,AT1G04197,-
chr1,876087,877556,AT1G03510,-,chr1,876087,877556,AT1G03510,-
chr1,877648,877719,AT1G03515,+,chr1,877648,877719,AT1G03515,+
chr1,877861,880259,AT1G03520,-,chr1,877861,880259,AT1G03520,-
chr1,880384,883599,AT1G03530,-,chr1,880384,883599,AT1G03530,-
chr1,883683,885611,AT1G03540,+,chr1,883683,885611,AT1G03540,+
chr1,885623,887956,AT1G03550,-,chr1,885623,887956,AT1G03550,-
chr1,885941,887972,AT1G03545,+,chr1,885941,887972,AT1G03545,+
chr1,889095,890027,AT1G08825,-,chr1,889095,890027,AT1G08825,-
chr1,890155,892492,AT1G03560,-,chr1,890155,892492,AT1G03560,-
chr1,892514,892585,AT1G03570,+,chr1,892514,892585,AT1G03570,+
chr1,892885,894194,AT1G03580,+,chr1,892885,894194,AT1G03580,+
chr1,894238,897718,AT1G03590,-,chr1,894238,897718,AT1G03590,-
chr1,898480,899794,AT1G03600,+,chr1,898480,899794,AT1G03600,+
chr1,900732,903070,AT1G03610,+,chr1,900732,903070,AT1G03610,+
chr1,904032,907643,AT1G03620,-,chr1,904032,907643,AT1G03620,-
chr1,907523,909650,AT1G03630,+,chr1,907523,909650,AT1G03630,+
chr1,909811,909883,AT1G03640,-,chr1,909811,909883,AT1G03640,-
chr1,910023,911292,AT1G03650,-,chr1,910023,911292,AT1G03650,-
chr1,911310,913808,AT1G03660,-,chr1,911310,913808,AT1G03660,-
chr1,913390,913595,AT1G04203,+,chr1,913390,913595,AT1G04203,+
chr1,914222,916222,AT1G03670,-,chr1,914222,916222,AT1G03670,-
chr1,916772,918064,AT1G03680,-,chr1,916772,918064,AT1G03680,-
chr1,918285,920592,AT1G03687,+,chr1,918285,920592,AT1G03687,+
chr1,920950,922098,AT1G03700,+,chr1,920950,922098,AT1G03700,+
chr1,923390,924730,AT1G03710,+,chr1,923390,924730,AT1G03710,+
chr1,924896,926373,AT1G03720,-,chr1,924896,926373,AT1G03720,-
chr1,926989,927200,AT1G04207,-,chr1,926989,927200,AT1G04207,-
chr1,930715,931985,AT1G03730,-,chr1,930715,931985,AT1G03730,-
chr1,933426,937152,AT1G03740,+,chr1,933426,937152,AT1G03740,+
chr1,937032,937141,AT1G04213,-,chr1,937032,937141,AT1G04213,-
chr1,937207,937287,AT1G03743,-,chr1,937207,937287,AT1G03743,-
chr1,937401,937485,AT1G03746,-,chr1,937401,937485,AT1G03746,-
chr1,937826,941162,AT1G03750,+,chr1,937826,941162,AT1G03750,+
chr1,941062,943377,AT1G03760,-,chr1,941062,943377,AT1G03760,-
